scenarioID,tdmVersion,tdmVersionWithDate,scenarioName,scenarioGroup,scenarioYear
3.05,v9,WF TDM v9.0 - 2022-12-19,EF_RTP_2050,EF_RTP,2050
3.08,v9,WF TDM v9.0 - 2022-12-19,Needs_2050,Needs,2050
3.11,v9,WF TDM v9.0 - 2022-12-19,NoBuild_2050,NoBuild,2050
3.16,v9,WF TDM v9.0 - 2022-12-19,RTP_2050,RTP,2050
4.16,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r0,RTP_2050,RTP,2050
3.01,v9,WF TDM v9.0 - 2022-12-19,BY_2019,BY,2019
4.01,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r0,BY_2019,BY,2019
3.02,v9,WF TDM v9.0 - 2022-12-19,BY_2023,BY,2023
4.02,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r0,BY_2023,BY,2023
3.18,v9,WF TDM v9.0 - 2022-12-19,TIP_2028,TIP,2028
4.18,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r0,TIP_2028,TIP,2028
3.03,v9,WF TDM v9.0 - 2022-12-19,EF_RTP_2032,EF_RTP,2032
3.06,v9,WF TDM v9.0 - 2022-12-19,Needs_2032,Needs,2032
3.09,v9,WF TDM v9.0 - 2022-12-19,NoBuild_2032,NoBuild,2032
3.13,v9,WF TDM v9.0 - 2022-12-19,RTP_2032,RTP,2032
4.13,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r0,RTP_2032,RTP,2032
3.04,v9,WF TDM v9.0 - 2022-12-19,EF_RTP_2042,EF_RTP,2042
3.07,v9,WF TDM v9.0 - 2022-12-19,Needs_2042,Needs,2042
3.1,v9,WF TDM v9.0 - 2022-12-19,NoBuild_2042,NoBuild,2042
3.15,v9,WF TDM v9.0 - 2022-12-19,RTP_2042,RTP,2042
4.15,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r0,RTP_2042,RTP,2042
1.16,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2050,RTP,2050
2.08,v832,WF TDM v8.3.2 - 2022-09-21,Needs_2050,Needs,2050
2.11,v832,WF TDM v8.3.2 - 2022-09-21,NoBuild_2050,NoBuild,2050
2.16,v832,WF TDM v8.3.2 - 2022-09-21,RTP_2050,RTP,2050
1.01,v832,WF TDM v8.3.2 - 2022-02-04a,BY_2019,BY,2019
2.01,v832,WF TDM v8.3.2 - 2022-09-21,BY_2019,BY,2019
2.02,v832,WF TDM v8.3.2 - 2022-09-21,BY_2023,BY,2023
1.17,v832,WF TDM v8.3.2 - 2022-02-04a,TIP_2024,TIP,2024
2.18,v832,WF TDM v8.3.2 - 2022-09-21,TIP_2028,TIP,2028
1.12,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2030,RTP,2030
2.06,v832,WF TDM v8.3.2 - 2022-09-21,Needs_2032,Needs,2032
2.09,v832,WF TDM v8.3.2 - 2022-09-21,NoBuild_2032,NoBuild,2032
2.13,v832,WF TDM v8.3.2 - 2022-09-21,RTP_2032,RTP,2032
1.14,v832,WF TDM v8.3.2 - 2022-02-04a,RTP_2040,RTP,2040
2.07,v832,WF TDM v8.3.2 - 2022-09-21,Needs_2042,Needs,2042
2.1,v832,WF TDM v8.3.2 - 2022-09-21,NoBuild_2042,NoBuild,2042
2.15,v832,WF TDM v8.3.2 - 2022-09-21,RTP_2042,RTP,2042
5.01,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r2,BY_2019,BY,2019
5.02,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r2,BY_2023,BY,2023
5.13,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r2,RTP_2032,RTP,2032
5.15,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r2,RTP_2042,RTP,2042
5.16,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r2,RTP_2050,RTP,2050
5.18,v9,WF TDM v9.0 - 2023-02-23-MCCalib-r2,TIP_2028,TIP,2028
